timestamp,label,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
3.564751,Stairs Up,-0.059494,-0.441788,-0.724304,0.079875,-0.345057,-0.584802
3.583249,Stairs Up,0.002747,-0.452576,-0.66774,0.050677,-0.342864,-0.427407
3.600326,Stairs Up,-0.007339,-0.490463,-0.689651,0.089727,-0.115111,-0.300802
3.621038,Stairs Up,-0.035294,-0.496918,-0.67662,0.187202,-0.35235,-0.342504
3.641118,Stairs Up,-0.044434,-0.499039,-0.638992,0.30149,-0.386841,-0.345224
3.666849,Stairs Up,-0.032715,-0.530823,-0.710678,0.359688,-0.287949,-0.377354
3.682474,Stairs Up,-0.027481,-0.577087,-0.67067,0.359688,-0.287949,-0.377354
3.701086,Stairs Up,-0.032013,-0.618973,-0.602692,0.091793,-0.524287,-0.609611
3.721059,Stairs Up,-0.027222,-0.627106,-0.708969,0.155719,-0.409279,-0.620152
3.741134,Stairs Up,0.066467,-0.626236,-0.838089,0.257401,-0.302223,-0.495764
3.765723,Stairs Up,0.141815,-0.637222,-0.87178,0.159761,-0.09157,-0.397272
3.781749,Stairs Up,0.130722,-0.661484,-0.848846,0.159761,-0.09157,-0.397272
3.801147,Stairs Up,0.115494,-0.684708,-0.854996,-0.200591,0.086154,-0.343062
3.821078,Stairs Up,0.146469,-0.678711,-0.996109,0.003099,0.215758,-0.272155
3.841115,Stairs Up,0.200882,-0.665405,-1.127075,0.398224,0.465172,0.012005
3.865629,Stairs Up,0.242142,-0.639755,-1.089615,0.315408,0.416801,0.036173
3.881758,Stairs Up,0.218735,-0.730148,-0.812607,0.315408,0.416801,0.036173
3.90118,Stairs Up,0.240768,-0.750458,-0.757706,-0.281383,0.291786,-0.099838
3.921104,Stairs Up,0.305725,-0.626709,-0.893936,-0.009386,0.431966,0.092018
3.941158,Stairs Up,0.330414,-0.546371,-0.995544,0.277037,0.477483,0.281974
3.966284,Stairs Up,0.318497,-0.494019,-0.910309,0.309247,0.364523,0.289463
3.981405,Stairs Up,0.277359,-0.492004,-0.771469,0.046938,0.27246,0.22614
4.001088,Stairs Up,0.225815,-0.480164,-0.70195,-0.252411,0.372948,0.170293
4.020251,Stairs Up,0.205841,-0.47258,-0.738647,-0.386312,0.606548,0.200958
4.041135,Stairs Up,0.209106,-0.451889,-0.781921,-0.367511,0.688528,0.270362
4.066279,Stairs Up,0.235748,-0.45816,-0.757065,-0.242954,0.54251,0.396132
4.081794,Stairs Up,0.249039,-0.456924,-0.710175,-0.242954,0.54251,0.396132
4.10114,Stairs Up,0.201874,-0.468094,-0.700684,-0.071883,0.336852,0.490151
4.121139,Stairs Up,0.150589,-0.487228,-0.678864,-0.046046,0.345048,0.46128
4.141098,Stairs Up,0.143784,-0.502289,-0.672012,-0.045707,0.367905,0.46314
4.16471,Stairs Up,0.150314,-0.488815,-0.661514,-0.037241,0.438146,0.464347
4.181702,Stairs Up,0.14299,-0.49498,-0.669006,-0.037241,0.438146,0.464347
4.201139,Stairs Up,0.144012,-0.501877,-0.641785,-0.027108,0.341542,0.444908
4.221124,Stairs Up,0.145264,-0.508286,-0.660263,0.009346,0.337772,0.394201
